TYPEID;GROUPID;TYPENAME;MASS;VOLUME
0;0;#System;0;0
2;2;Corporation;0;0
3;3;Region;0;1
4;4;Constellation;0;1
5;5;Solar System;0;1
6;6;Sun G5 (Yellow);1E+35;1
7;6;Sun K7 (Orange);1E+35;1
8;6;Sun K5 (Red Giant);1E+35;1
9;6;Sun B0 (Blue);1E+35;1
10;6;Sun F0 (White);1E+35;1
11;7;Planet (Temperate);1E+35;1
12;7;Planet (Ice);1E+35;1
13;7;Planet (Gas);1E+35;1
14;8;Moon;1E+35;1
15;9;Asteroid Belt;1E+35;1
16;10;Stargate (Caldari System);1E+11;10000000
17;10;Stargate (Amarr Constellation);1E+11;100000000
18;458;Plagioclase;1E+35;0,35
19;461;Spodumain;1E+35;16
20;457;Kernite;1E+35;1,2
21;454;Hedbergite;1E+35;3
22;450;Arkonor;1E+35;16
23;12;Cargo Container;10000;27500
24;13;Ring;1E+35;1
25;14;Corpse;80;2
26;16;Office Folder;0;1
27;16;Office;0;1
28;16;Factory Folder;0;1
29;17;Credits;0;0
30;19;Faction;0;0
34;18;Tritanium;0;0,01
35;18;Pyerite;0;0,01
36;18;Mexallon;0;0,01
37;18;Isogen;0;0,01
38;18;Nocxium;0;0,01
39;18;Zydrine;0;0,01
40;18;Megacyte;0;0,01
41;280;Garbage;2500;0,25
42;280;Spiced Wine;500;0,5
43;280;Antibiotics;5;0,2
44;1034;Enriched Uranium;0;1,5
45;281;Frozen Plant Seeds;400;0,5
49;24;Player Kill;0;0
50;24;Company Shares;0;0
51;24;Bookmark;0;0
52;94;Trading;0;0
53;95;Trade Session;0;0
54;15;Caldari Logistics Station;0;1
56;15;Gallente Military Station;0;1
57;15;Gallente Station Hub ;0;1
58;15;C-O-1;0;1
59;15;C-O-2;0;1
164;23;Clone Grade Alpha;0;1
165;23;Clone Grade Beta;0;1
166;23;Clone Grade Gamma;0;1
178;83;Carbonized Lead S;0,01;0,0025
179;83;Nuclear S;0,01;0,0025
180;83;Proton S;0,01;0,0025
181;83;Depleted Uranium S;0,01;0,0025
182;83;Titanium Sabot S;0,01;0,0025
183;83;Fusion S;0,01;0,0025
184;83;Phased Plasma S;0,01;0,0025
185;83;EMP S;0,01;0,0025
186;83;Carbonized Lead M;0,05;0,0125
187;83;Nuclear M;0,05;0,0125
188;83;Proton M;1;0,0125
189;83;Depleted Uranium M;1;0,0125
190;83;Titanium Sabot M;1;0,0125
191;83;Fusion M;1;0,0125
192;83;Phased Plasma M;1;0,0125
193;83;EMP M;1;0,0125
194;83;Carbonized Lead L;1;0,025
195;83;Nuclear L;1;0,025
196;83;Proton L;1;0,025
197;83;Depleted Uranium L;1;0,025
198;83;Titanium Sabot L;1;0,025
199;83;Fusion L;1;0,025
200;83;Phased Plasma L;1;0,025
201;83;EMP L;1;0,025
202;386;Mjolnir Cruise Missile;1250;0,05
203;386;Scourge Cruise Missile;1250;0,05
204;386;Inferno Cruise Missile;1250;0,05
205;386;Nova Cruise Missile;1250;0,05
206;385;Nova Heavy Missile;1000;0,03
207;385;Mjolnir Heavy Missile;1000;0,03
208;385;Inferno Heavy Missile;1000;0,03
209;385;Scourge Heavy Missile;1000;0,03
210;384;Scourge Light Missile;700;0,015
211;384;Inferno Light Missile;700;0,015
212;384;Mjolnir Light Missile;700;0,015
213;384;Nova Light Missile;700;0,015
215;85;Iron Charge S;0,01;0,0025
216;85;Tungsten Charge S;0,01;0,0025
217;85;Iridium Charge S;0,01;0,0025
218;85;Lead Charge S;0,01;0,0025
219;85;Thorium Charge S;0,01;0,0025
220;85;Uranium Charge S;0,01;0,0025
221;85;Plutonium Charge S;0,01;0,0025
222;85;Antimatter Charge S;0,01;0,0025
223;85;Iron Charge M;0,05;0,0125
224;85;Tungsten Charge M;0,05;0,0125
225;85;Iridium Charge M;0,05;0,0125
226;85;Lead Charge M;0,05;0,0125
227;85;Thorium Charge M;0,05;0,0125
228;85;Uranium Charge M;0,05;0,0125
229;85;Plutonium Charge M;0,05;0,0125
230;85;Antimatter Charge M;0,05;0,0125
231;85;Iron Charge L;0,1;0,025
232;85;Tungsten Charge L;0,1;0,025
233;85;Iridium Charge L;0,1;0,025
234;85;Lead Charge L;0,1;0,025
235;85;Thorium Charge L;0,1;0,025
236;85;Uranium Charge L;0,1;0,025
237;85;Plutonium Charge L;0,1;0,025
238;85;Antimatter Charge L;0,1;0,025
239;86;Radio S;1;1
240;86;Microwave S;1;1
241;86;Infrared S;1;1
242;86;Standard S;1;1
243;86;Ultraviolet S;1;1
244;86;Xray S;1;1
245;86;Gamma S;1;1
246;86;Multifrequency S;1;1
247;86;Radio M;1;1
248;86;Microwave M;1;1
249;86;Infrared M;1;1
250;86;Standard M;1;1
251;86;Ultraviolet M;1;1
252;86;Xray M;1;1
253;86;Gamma M;1;1
254;86;Multifrequency M;1;1
255;86;Radio L;1;1
